ID_Modulo,Nombre_Modulo,Tipo
MOD_PEP,Preparación del entorno profesional,Práctico
MOD_CEN,Cuidados estéticos básicos de uñas,Práctico
MOD_DEP,Depilación mecánica y decoloración del vello superfluo,Práctico
MOD_MAQ,Maquillaje,Práctico
MOD_LCC,Lavado y cambios de forma del cabello,Práctico
MOD_CCC,Cambio de color del cabello,Práctico
MOD_ATC,Atención al cliente,Práctico / Transversal
MOD_CA1,Ciencias aplicadas I,Teórico
MOD_CA2,Ciencias aplicadas II,Teórico
MOD_CS1,Comunicación y sociedad I,Teórico
MOD_CS2,Comunicación y sociedad II,Teórico
MOD_FCT,Formación en centros de trabajo,Práctico / Empresa
